[Name]
Series 1 at /LINE:Centerline

[Data]
X [ m ],Density [ kg m^-3 ]
-2.70803999e-02, 2.25233030e+00
-2.45833378e-02, 2.24781919e+00
-2.20862757e-02, 2.24156380e+00
-1.95892137e-02, 2.23302269e+00
-1.70921516e-02, 2.22113013e+00
-1.45950895e-02, 2.20373487e+00
-1.20980274e-02, 2.17893958e+00
-9.60096531e-03, 2.14264846e+00
-7.10390322e-03, 2.09004498e+00
-4.60684113e-03, 2.01427174e+00
-2.10977904e-03, 1.90772307e+00
3.87283042e-04, 1.76978898e+00
2.88434513e-03, 1.60087585e+00
5.38140722e-03, 1.41066933e+00
7.87846930e-03, 1.21460402e+00
1.03755314e-02, 1.02725935e+00
1.28725935e-02, 8.58646929e-01
1.53696556e-02, 7.13603675e-01
1.78667177e-02, 5.92367709e-01
2.03637797e-02, 4.92868453e-01
2.28608418e-02, 4.12032783e-01
2.53579039e-02, 3.46496731e-01
2.78549660e-02, 2.93402553e-01
3.03520281e-02, 2.50195533e-01
3.28490883e-02, 2.14859098e-01
3.53461504e-02, 1.85812011e-01
3.78432125e-02, 1.61746174e-01
4.03402746e-02, 1.41696811e-01
4.28373367e-02, 1.24871597e-01
4.53343987e-02, 1.10668093e-01


