[Name]
Series 1 at /LINE:Centerline

[Data]
X [ m ],Mach Number
-2.70803999e-02, 1.35773703e-01
-2.45833378e-02, 1.50077283e-01
-2.20862757e-02, 1.67735875e-01
-1.95892137e-02, 1.89347208e-01
-1.70921516e-02, 2.15906471e-01
-1.45950895e-02, 2.49694943e-01
-1.20980274e-02, 2.91851074e-01
-9.60096531e-03, 3.45235914e-01
-7.10390322e-03, 4.12354171e-01
-4.60684113e-03, 4.95628417e-01
-2.10977904e-03, 5.97884774e-01
3.87283042e-04, 7.18457699e-01
2.88434513e-03, 8.55850875e-01
5.38140722e-03, 1.00637567e+00
7.87846930e-03, 1.16442811e+00
1.03755314e-02, 1.32488036e+00
1.28725935e-02, 1.48364186e+00
1.53696556e-02, 1.63786566e+00
1.78667177e-02, 1.78591299e+00
2.03637797e-02, 1.92698038e+00
2.28608418e-02, 2.06082082e+00
2.53579039e-02, 2.18761063e+00
2.78549660e-02, 2.30762959e+00
3.03520281e-02, 2.42133498e+00
3.28490883e-02, 2.52918243e+00
3.53461504e-02, 2.63159633e+00
3.78432125e-02, 2.72905302e+00
4.03402746e-02, 2.82192445e+00
4.28373367e-02, 2.91058922e+00
4.53343987e-02, 3.01937842e+00


