[Name]
Series 1 at /LINE:Centerline

[Data]
X [ m ],Pressure [ Pa ]
-2.70803999e-02, 2.86401200e+06
-2.45833378e-02, 2.85667950e+06
-2.20862757e-02, 2.84641475e+06
-1.95892137e-02, 2.83241525e+06
-1.70921516e-02, 2.81295125e+06
-1.45950895e-02, 2.78454000e+06
-1.20980274e-02, 2.74415050e+06
-9.60096531e-03, 2.68524825e+06
-7.10390322e-03, 2.60023350e+06
-4.60684113e-03, 2.47874425e+06
-2.10977904e-03, 2.30982150e+06
3.87283042e-04, 2.09453725e+06
2.88434513e-03, 1.83651338e+06
5.38140722e-03, 1.55390450e+06
7.87846930e-03, 1.27227913e+06
1.03755314e-02, 1.01347056e+06
1.28725935e-02, 7.90225063e+05
1.53696556e-02, 6.06637250e+05
1.78667177e-02, 4.60023219e+05
2.03637797e-02, 3.45056063e+05
2.28608418e-02, 2.55750859e+05
2.53579039e-02, 1.86414734e+05
2.78549660e-02, 1.32552359e+05
3.03520281e-02, 9.04418594e+04
3.28490883e-02, 5.72978984e+04
3.53461504e-02, 3.10374375e+04
3.78432125e-02, 1.00257617e+04
4.03402746e-02, -6.90267969e+03
4.28373367e-02, -2.06633887e+04
4.53343987e-02, -3.19256777e+04


