[Name]
Series 1 at /LINE:Centerline

[Data]
X [ m ],Temperature [ K ]
-2.70803999e-02, 3.19504712e+03
-2.45833378e-02, 3.19344458e+03
-2.20862757e-02, 3.19124536e+03
-1.95892137e-02, 3.18822607e+03
-1.70921516e-02, 3.18402515e+03
-1.45950895e-02, 3.17790430e+03
-1.20980274e-02, 3.16906323e+03
-9.60096531e-03, 3.15598242e+03
-7.10390322e-03, 3.13662744e+03
-4.60684113e-03, 3.10828296e+03
-2.10977904e-03, 3.06729199e+03
3.87283042e-04, 3.01093970e+03
2.88434513e-03, 2.93736816e+03
5.38140722e-03, 2.84724658e+03
7.87846930e-03, 2.74419360e+03
1.03755314e-02, 2.63323340e+03
1.28725935e-02, 2.51951709e+03
1.53696556e-02, 2.40726709e+03
1.78667177e-02, 2.29940430e+03
2.03637797e-02, 2.19764990e+03
2.28608418e-02, 2.10282886e+03
2.53579039e-02, 2.01507434e+03
2.78549660e-02, 1.93423315e+03
3.03520281e-02, 1.85986609e+03
3.28490883e-02, 1.79147180e+03
3.53461504e-02, 1.72855200e+03
3.78432125e-02, 1.67055017e+03
4.03402746e-02, 1.61701233e+03
4.28373367e-02, 1.56748291e+03
4.53343987e-02, 1.50891760e+03


