[Name]
Series 1 at /LINE:Centerline

[Data]
X [ m ],Velocity [ m s^-1 ]
-2.70803999e-02, 1.73917267e+02
-2.45833378e-02, 1.92191055e+02
-2.20862757e-02, 2.14730927e+02
-1.95892137e-02, 2.42282379e+02
-1.70921516e-02, 2.76084534e+02
-1.45950895e-02, 3.18983368e+02
-1.20980274e-02, 3.72318146e+02
-9.60096531e-03, 4.39511322e+02
-7.10390322e-03, 5.23344666e+02
-4.60684113e-03, 6.26183105e+02
-2.10977904e-03, 7.50375610e+02
3.87283042e-04, 8.93378479e+02
2.88434513e-03, 1.05112463e+03
5.38140722e-03, 1.21688452e+03
7.87846930e-03, 1.38228528e+03
1.03755314e-02, 1.54062146e+03
1.28725935e-02, 1.68759570e+03
1.53696556e-02, 1.82103320e+03
1.78667177e-02, 1.94065027e+03
2.03637797e-02, 2.04709827e+03
2.28608418e-02, 2.14152368e+03
2.53579039e-02, 2.22535645e+03
2.78549660e-02, 2.29987183e+03
3.03520281e-02, 2.36635303e+03
3.28490883e-02, 2.42588843e+03
3.53461504e-02, 2.47939185e+03
3.78432125e-02, 2.52771338e+03
4.03402746e-02, 2.57150830e+03
4.28373367e-02, 2.61136987e+03
4.53343987e-02, 2.65770361e+03


