[Name],,,,,,
Series 1 at /LINE:Outlet,,,,,,
,,,,,,
[Data],,,,,,
Y [ m ],Density [ kg m^-3 ],,,Simulated,CEA,Analytical
3.12E-02,5.38E-01,,Average,0.15110,0.13761,
3.06E-02,1.47E-01,,error,,9.802%,
3.00E-02,1.69E-01,,,,,
2.93E-02,1.71E-01,,,,,
2.87E-02,1.72E-01,,,,,
2.81E-02,1.73E-01,,,,,
2.74E-02,1.73E-01,,,,,
2.68E-02,1.74E-01,,,,,
2.62E-02,1.74E-01,,,,,
2.55E-02,1.75E-01,,,,,
2.49E-02,1.75E-01,,,,,
2.43E-02,1.75E-01,,,,,
2.37E-02,1.75E-01,,,,,
2.30E-02,1.75E-01,,,,,
2.24E-02,1.74E-01,,,,,
2.18E-02,1.74E-01,,,,,
2.11E-02,1.74E-01,,,,,
2.05E-02,1.73E-01,,,,,
1.99E-02,1.72E-01,,,,,
1.92E-02,1.72E-01,,,,,
1.86E-02,1.70E-01,,,,,
1.80E-02,1.69E-01,,,,,
1.73E-02,1.68E-01,,,,,
1.67E-02,1.66E-01,,,,,
1.61E-02,1.63E-01,,,,,
1.55E-02,1.61E-01,,,,,
1.48E-02,1.58E-01,,,,,
1.42E-02,1.56E-01,,,,,
1.36E-02,1.51E-01,,,,,
1.29E-02,1.42E-01,,,,,
1.23E-02,1.25E-01,,,,,
1.17E-02,1.08E-01,,,,,
1.10E-02,9.91E-02,,,,,
1.04E-02,9.88E-02,,,,,
9.78E-03,9.85E-02,,,,,
9.15E-03,1.01E-01,,,,,
8.51E-03,1.03E-01,,,,,
7.88E-03,1.05E-01,,,,,
7.25E-03,1.06E-01,,,,,
6.62E-03,1.06E-01,,,,,
5.99E-03,1.07E-01,,,,,
5.36E-03,1.08E-01,,,,,
4.73E-03,1.08E-01,,,,,
4.10E-03,1.09E-01,,,,,
3.47E-03,1.10E-01,,,,,
2.84E-03,1.11E-01,,,,,
2.21E-03,1.11E-01,,,,,
1.58E-03,1.11E-01,,,,,
9.46E-04,1.11E-01,,,,,
3.15E-04,1.12E-01,,,,,
