[Name],,,,,,
Series 1 at /LINE:Outlet,,,,,,
,,,,,,
[Data],,,,,,
Y [ m ],Pressure [ Pa ],Abs [bar],,Simulated,CEA,Analytical
3.12E-02,-5.98E+03,0.95349,Average (bar),0.96823,1.013,
3.06E-02,1.54E+04,1.16762,error,,4.42%,
3.00E-02,1.75E+04,1.18782,,,,
2.93E-02,1.82E+04,1.19507,,,,
2.87E-02,1.89E+04,1.20207,,,,
2.81E-02,1.95E+04,1.20793,,,,
2.74E-02,2.00E+04,1.21328,,,,
2.68E-02,2.04E+04,1.21756,,,,
2.62E-02,2.08E+04,1.22146,,,,
2.55E-02,2.11E+04,1.22430,,,,
2.49E-02,2.13E+04,1.22632,,,,
2.43E-02,2.14E+04,1.22743,,,,
2.37E-02,2.14E+04,1.22762,,,,
2.30E-02,2.13E+04,1.22667,,,,
2.24E-02,2.11E+04,1.22423,,,,
2.18E-02,2.07E+04,1.22004,,,,
2.11E-02,2.04E+04,1.21718,,,,
2.05E-02,1.97E+04,1.20980,,,,
1.99E-02,1.92E+04,1.20491,,,,
1.92E-02,1.86E+04,1.19916,,,,
1.86E-02,1.72E+04,1.18554,,,,
1.80E-02,1.63E+04,1.17653,,,,
1.73E-02,1.53E+04,1.16612,,,,
1.67E-02,1.41E+04,1.15415,,,,
1.61E-02,1.13E+04,1.12666,,,,
1.55E-02,9.54E+03,1.10861,,,,
1.48E-02,7.50E+03,1.08821,,,,
1.42E-02,5.15E+03,1.06472,,,,
1.36E-02,1.50E+03,1.02826,,,,
1.29E-02,-6.49E+03,0.94838,,,,
1.23E-02,-2.03E+04,0.81006,,,,
1.17E-02,-3.41E+04,0.67249,,,,
1.10E-02,-4.08E+04,0.60500,,,,
1.04E-02,-4.10E+04,0.60275,,,,
9.78E-03,-4.13E+04,0.60010,,,,
9.15E-03,-3.97E+04,0.61619,,,,
8.51E-03,-3.80E+04,0.63359,,,,
7.88E-03,-3.66E+04,0.64683,,,,
7.25E-03,-3.56E+04,0.65689,,,,
6.62E-03,-3.55E+04,0.65778,,,,
5.99E-03,-3.47E+04,0.66636,,,,
5.36E-03,-3.39E+04,0.67442,,,,
4.73E-03,-3.38E+04,0.67513,,,,
4.10E-03,-3.31E+04,0.68252,,,,
3.47E-03,-3.24E+04,0.68897,,,,
2.84E-03,-3.19E+04,0.69422,,,,
2.21E-03,-3.19E+04,0.69459,,,,
1.58E-03,-3.15E+04,0.69844,,,,
9.46E-04,-3.15E+04,0.69869,,,,
3.15E-04,-3.13E+04,0.70053,,,,
