[Name]
Series 1 at /LINE:Outlet

[Data]
Y [ m ],Temperature [ K ]
3.12206000e-02, 4.30316956e+02
3.05898804e-02, 1.92967102e+03
2.99591608e-02, 1.70178125e+03
2.93284412e-02, 1.69173389e+03
2.86977217e-02, 1.69479175e+03
2.80670021e-02, 1.69709204e+03
2.74362825e-02, 1.69902295e+03
2.68055629e-02, 1.70033325e+03
2.61748433e-02, 1.70135364e+03
2.55441237e-02, 1.70207935e+03
2.49134041e-02, 1.70261877e+03
2.42826845e-02, 1.70295728e+03
2.36519650e-02, 1.70311401e+03
2.30212454e-02, 1.70298901e+03
2.23905258e-02, 1.70243164e+03
2.17598062e-02, 1.70135999e+03
2.11290866e-02, 1.70066272e+03
2.04983670e-02, 1.69886560e+03
1.98676474e-02, 1.69768433e+03
1.92369279e-02, 1.69627612e+03
1.86062083e-02, 1.69284253e+03
1.79754887e-02, 1.69053711e+03
1.73447691e-02, 1.68781787e+03
1.67140495e-02, 1.68463708e+03
1.60833299e-02, 1.67721558e+03
1.54526103e-02, 1.67229980e+03
1.48218907e-02, 1.66664844e+03
1.41911712e-02, 1.65999573e+03
1.35604516e-02, 1.64908508e+03
1.29297320e-02, 1.62271094e+03
1.22990124e-02, 1.57113184e+03
1.16682928e-02, 1.51319446e+03
1.10375732e-02, 1.48110132e+03
1.04068536e-02, 1.47985376e+03
9.77613404e-03, 1.47797607e+03
9.14541446e-03, 1.48586731e+03
8.51469487e-03, 1.49427600e+03
7.88397528e-03, 1.50048706e+03
7.25325616e-03, 1.50508240e+03
6.62253704e-03, 1.50548254e+03
5.99181792e-03, 1.50933704e+03
5.36109880e-03, 1.51291931e+03
4.73037967e-03, 1.51323376e+03
4.09966055e-03, 1.51649890e+03
3.46894143e-03, 1.51932800e+03
2.83822231e-03, 1.52163269e+03
2.20750319e-03, 1.52179663e+03
1.57678407e-03, 1.52348645e+03
9.46064887e-04, 1.52359827e+03
3.15345707e-04, 1.52098083e+03


