[Name]
Series 1 at /LINE:Outlet

[Data]
Y [ m ],Velocity [ m s^-1 ]
3.12206000e-02, 0.00000000e+00
3.05898804e-02, 2.30393506e+03
2.99591608e-02, 2.50410229e+03
2.93284412e-02, 2.51040771e+03
2.86977217e-02, 2.50780762e+03
2.80670021e-02, 2.50577319e+03
2.74362825e-02, 2.50411230e+03
2.68055629e-02, 2.50300635e+03
2.61748433e-02, 2.50214600e+03
2.55441237e-02, 2.50153931e+03
2.49134041e-02, 2.50109009e+03
2.42826845e-02, 2.50080908e+03
2.36519650e-02, 2.50068018e+03
2.30212454e-02, 2.50078589e+03
2.23905258e-02, 2.50125098e+03
2.17598062e-02, 2.50214258e+03
2.11290866e-02, 2.50272266e+03
2.04983670e-02, 2.50421729e+03
1.98676474e-02, 2.50519971e+03
1.92369279e-02, 2.50637061e+03
1.86062083e-02, 2.50922485e+03
1.79754887e-02, 2.51114014e+03
1.73447691e-02, 2.51339697e+03
1.67140495e-02, 2.51603467e+03
1.60833299e-02, 2.52217773e+03
1.54526103e-02, 2.52623901e+03
1.48218907e-02, 2.53090039e+03
1.41911712e-02, 2.53637354e+03
1.35604516e-02, 2.54531104e+03
1.29297320e-02, 2.56672754e+03
1.22990124e-02, 2.60813135e+03
1.16682928e-02, 2.65415503e+03
1.10375732e-02, 2.67942749e+03
1.04068536e-02, 2.68040234e+03
9.77613404e-03, 2.68188330e+03
9.14541446e-03, 2.67573975e+03
8.51469487e-03, 2.66918042e+03
7.88397528e-03, 2.66432471e+03
7.25325616e-03, 2.66072632e+03
6.62253704e-03, 2.66041260e+03
5.99181792e-03, 2.65739063e+03
5.36109880e-03, 2.65457910e+03
4.73037967e-03, 2.65433179e+03
4.09966055e-03, 2.65176709e+03
3.46894143e-03, 2.64954370e+03
2.83822231e-03, 2.64773071e+03
2.20750319e-03, 2.64760156e+03
1.57678407e-03, 2.64627051e+03
9.46064887e-04, 2.64618262e+03
3.15345707e-04, 2.64823291e+03


